Field Name,CO2 Endpoint RelPerm,Formation Temp [C],Latitude,Longitude,Number of Wells,Permeability [mD],Pore Pressure [MPa],Pore Volume,Porosity [-],Salinity [ppm],Swr [-],Temp Gradient
Auk_029_15,0.237,92.69,56.594759,1.799228,683,5,27.9,329784.51427245,0.19,70621.28,0.423,36.99868938401
Brae_016_12c,0.237,122.57,58.68512,1.378308,111,600,73.79,22815.7136896,0.16,48935.46,0.423,31.949247071946
Buchan_015_26,0.237,68.17,58.026194,0.013519,1228,38,17.9,720715.474692,0.09,116528,0.423,35.00290866783
Bunter Closure 1,0.237,35.36275,54.0251,1.76661,1,100,7.3,7265.51923284,0.29,180000,0.423,37.759953080798
Bunter Closure 10,0.237,68.7496,54.600844,2.671329,1,15,16.9,108.0678456,0.26,180000,0.423,36.191497474025
Bunter Closure 11,0.237,62.84,54.534163,2.814452,1,15,15.2,115.676729784,0.14,180000,0.423,36.324135281572
Bunter Closure 13,0.237,68.78565,54.480614,2.66351,2,15,16.9,797.500452672,0.16,180000,0.423,36.190766794277
Bunter Closure 14,0.237,72.58105,54.274828,2.671048,2,15,18,422.751044331,0.07,180000,0.423,36.118549465054
Bunter Closure 32,0.237,47.87525,53.978083,0.417206,0,100,10.9,338.2562938,0.22,180000,0.423,36.84817262
Bunter Closure 35,0.237,49.23,54.20803,1.039106,3,271,11.5,8650.574955,0.22,243000,0.423,38.175925925926
Bunter Closure 36,0.237,45,54.052813,2.094204,18,200,11.9,4492.36458,0.22,20500,0.423,31.623931623932
Bunter Closure 37,0.237,59.11375,54.151626,2.174529,1,50,14.1,2575.76297814,0.15,180000,0.423,36.425262782826
Bunter Closure 38,0.237,66.18,54.311859,1.920562,5,100,16.2,602.518400352,0.22,180000,0.423,36.244930506669
Bunter Closure 39,0.237,51.02,54.173271,1.821028,0,100,11.8,2319.671932578,0.14,180000,0.423,36.703666100726
Bunter Closure 4,0.237,56.88215,54.384764,1.623913,1,100,13.5,99.1851399,0.21,180000,0.423,36.493105584961
Bunter Closure 40,0.237,64.14,54.248415,1.551506,1,100,15.6,930.123250056,0.14,180000,0.423,36.290765700249
