flow_rate_sm3_day,flow_rate_cap_sm3_day,low_permeability_flow_cap,cycle_length_days,cg_ratio,cg_type,permeability_md,porosity,pressure_mpa,temperature_c,top_depth_m,mean_depth_m,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
92566.12589818226,100000.0,True,62.12990733529406,2.1931312166407086,CH4,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
50859.33501781672,1500000.0,False,338.9598875017829,3.5921950211869063,H2,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
13946.901078905214,100000.0,True,173.50418285769558,3.6789750909385956,N2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
526628.2051897609,1500000.0,False,359.8256997869887,2.856585880089211,CO2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
39214.50943601276,1500000.0,False,153.12042134748387,0.26045268640938135,H2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
112781.84241602445,1500000.0,False,76.79068147951489,1.6794894619511664,N2,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
775527.841197473,1500000.0,False,184.1425715918163,1.5219352980793168,N2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
1211023.2036216995,1500000.0,False,87.02856998687477,0.8328550310294225,CH4,100.0,0.14,0.7,12.2771,65.06,1591.16,0,16,16,25,Bunter Sandstone Formation Zone 4
137051.61345887234,1500000.0,False,286.94136362708787,0.9722662319701838,H2,271.0,0.22,11.5,49.23,1080.0,1449.75,1,12,12,9,Bunter Closure 35
25384.132860846392,1500000.0,False,48.99168877656858,0.4025356083740604,CH4,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
233182.60642630266,1500000.0,False,308.1608081678312,3.1253933971348946,CO2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
371129.58909715136,1500000.0,False,25.604371820484385,1.2864842291273257,CH4,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
626449.3138282653,1500000.0,False,27.706055141789395,1.7581847252075928,CO2,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
15750.16990395932,1500000.0,False,172.34511935295163,1.0093385744315373,CO2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
1416715.5635173284,1500000.0,False,334.5947186177498,3.6093419215888383,N2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
148452.25485535624,1500000.0,False,118.32599017792081,3.045693375168558,H2,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
75949.11300296152,1500000.0,False,105.16189375650626,0.062400734380199135,CO2,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
13238.203978889254,1500000.0,False,38.7195790869935,1.4106811931472636,CO2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
176200.59647934232,1500000.0,False,209.3099282202226,3.412328673795693,CH4,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
940623.0083950759,1500000.0,False,155.00386250731438,2.0150837594117124,H2,271.0,0.22,11.5,49.23,1080.0,1449.75,1,12,12,9,Bunter Closure 35
19833.144773846776,1500000.0,False,130.20129046328753,0.9314781111481505,H2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
738089.5696807115,1500000.0,False,347.7064277393595,2.211571364794736,H2,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
28767.198844810904,1500000.0,False,239.12862703116005,2.9197534573234565,N2,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
16106.607928027759,1500000.0,False,162.67336155968067,1.356731770850203,CO2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
498872.0798389468,1500000.0,False,96.67177448092254,0.4555335780664875,N2,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
48575.827071408494,1500000.0,False,230.71189718204775,2.234704667882185,N2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
42953.08308376857,1500000.0,False,138.4057034572073,2.338685491677381,H2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
280225.7942296768,1500000.0,False,96.96655768996445,1.6306642166407384,N2,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
45402.59890355638,1500000.0,False,221.02678640173548,1.7782211251952282,H2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
951114.6512666238,1500000.0,False,150.7767872111184,1.9239916417991731,CH4,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
699298.3404810441,1500000.0,False,353.2791830966954,1.2924307497954077,CO2,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
748397.6090892361,1500000.0,False,175.2483385134182,2.2669577392550493,CO2,470.0,0.22,23.88,79.71,2241.0,3300.75,3,0,0,147,Statfjord_009_24
27142.10819044085,1500000.0,False,268.0624697566401,3.407055952783036,N2,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
411932.01146951807,1500000.0,False,351.02417635512325,2.834402342929514,CO2,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
772129.4161263398,1500000.0,False,277.2716381831019,3.5457699927682738,CO2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
19079.4661847946,100000.0,True,155.48854822549507,1.2618220675052387,H2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
59466.03431936615,1500000.0,False,245.7283731176262,2.324353789681331,N2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
1482034.638613299,1500000.0,False,250.35921844984625,0.37136624344846486,N2,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
49611.21411549627,1500000.0,False,177.66665677256714,3.5139318437613185,CH4,350.0,0.14,10.3,45.7819,1022.34,1421.13,2,2,2,23,Bunter Sandstone Formation Zone 1
334568.33091855905,1500000.0,False,47.39267068607788,1.0909815292743803,H2,100.0,0.14,0.7,12.2771,65.06,1591.16,0,16,16,25,Bunter Sandstone Formation Zone 4
64689.203534971886,100000.0,True,120.94980768570852,1.3353244454308808,N2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
152049.14249657153,1500000.0,False,156.47678684994895,0.7640480734460439,CH4,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
