case_id,chunk_id,pool_row_index,name,InitialTemperature,PressureGWC,ReferencePorosity,ReferencePermeability,CushionGasType,InjectionRateDev,InjectionRateOp,ProductionRate,InjectionDurationDev,InjectionDurationOp,ExtractionDurationOp,TEnd,MaxTimeStepSize,CGRatio,CycleLengthDays,FlowRateSm3Day,FlowRateMolM2S,PermeabilityMd,Porosity,PressureMPa,TemperatureC,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
0,0,0,case000_CGCH4_Q1267909_CL62.1_CGR2.19_K500_Poro0.230,438.24,83000000.0,0.23,500.0,CH4,-47.879397756418975,-47.879397756418975,47.879397756418975,68.12951963201397,31.06495366764703,31.06495366764703,689.4285929849545,27075.741106318215,2.1931312166407086,62.12990733529406,1267908.5801103998,47.879397756418975,500.0,0.23,83.0,165.09,4,34,34,81,Fulmar_030_06
1,0,1,case001_CGH2_Q50859_CL339.0_CGR3.59_K500_Poro0.230,418.25,72900000.0,0.23,500.0,H2,-1.920575638610304,-1.920575638610304,1.920575638610304,608.8050101329892,169.47994375089144,169.47994375089144,3998.4038851508176,157028.2253077412,3.5921950211869063,338.9598875017829,50859.33501781672,1.920575638610304,500.0,0.23,72.9,145.1,4,9,9,82,Fulmar_030_08
2,0,2,case002_CGN2_Q20625_CL173.5_CGR3.68_K500_Poro0.230,438.24,83000000.0,0.23,500.0,N2,-0.7788564901554398,-0.7788564901554398,0.7788564901554398,319.15878345355867,86.75209142884779,86.75209142884779,2054.2006120305145,80674.06039974384,3.6789750909385956,173.50418285769558,20625.13049071009,0.7788564901554398,500.0,0.23,83.0,165.09,4,34,34,81,Fulmar_030_06
3,0,3,case003_CGCO2_Q526628_CL359.8_CGR2.86_K5.03_Poro0.130,426.63,73800000.0,0.13,5.03,CO2,-19.886797598478346,-19.886797598478346,19.886797598478346,513.9365066523657,179.91284989349435,179.91284989349435,4112.193504522253,161497.053995783,2.856585880089211,359.8256997869887,526628.2051897609,19.886797598478346,5.03,0.13,73.8,153.48,0,3,3,138,Skagerrak_022_15
4,0,4,case004_CGH2_Q39215_CL153.1_CGR0.26_K1.6e03_Poro0.230,395.76,48900000.0,0.23,1600.0,H2,-1.480837912577432,-1.480837912577432,1.480837912577432,19.94031254204428,76.56021067374193,76.56021067374193,1551.144526016883,60917.67593084486,0.26045268640938135,153.12042134748387,39214.50943601276,1.480837912577432,1600.0,0.23,48.9,122.61,4,2,2,57,Fulmar_021_24
5,0,5,case005_CGN2_Q112782_CL76.8_CGR1.68_K100_Poro0.150,312.12,8300000.000000001,0.15,100.0,N2,-4.258924324235124,-4.258924324235124,4.258924324235124,64.48457016044694,38.395340739757444,38.395340739757444,832.3913849555959,32690.279845528854,1.6794894619511664,76.79068147951489,112781.84241602445,4.258924324235124,100.0,0.15,8.3,38.97,2,16,16,18,Bunter Closure 46
6,1,6,case006_CGN2_Q775528_CL184.1_CGR1.52_K5.03_Poro0.130,426.63,73800000.0,0.13,5.03,N2,-29.285870103219576,-29.285870103219576,29.285870103219576,140.12653979234145,92.07128579590815,92.07128579590815,1981.5522557105044,77820.96131517617,1.5219352980793168,184.1425715918163,775527.841197473,29.285870103219576,5.03,0.13,73.8,153.48,0,3,3,138,Skagerrak_022_15
7,1,7,case007_CGCH4_Q1211023_CL87.0_CGR0.83_K40_Poro0.160,367.60999999999996,39790000.0,0.16,40.0,CH4,-45.73126372676443,-45.73126372676443,45.73126372676443,36.24109117843243,43.514284993437386,43.514284993437386,906.5267910471802,35601.77943021653,0.8328550310294225,87.02856998687477,1211023.2036216995,45.73126372676443,40.0,0.16,39.79,94.46,2,30,30,49,Cormorant_211_23
8,1,8,case008_CGH2_Q137052_CL286.9_CGR0.97_K30_Poro0.170,414.49,80800000.0,0.17,30.0,H2,-5.175411553240667,-5.175411553240667,5.175411553240667,139.49169920504752,143.47068181354393,143.47068181354393,3008.905335475926,118167.91862960001,0.9722662319701838,286.94136362708787,137051.61345887234,5.175411553240667,30.0,0.17,80.8,141.34,1,23,23,100,Joanne_030_06
9,1,9,case009_CGCH4_Q25384_CL49.0_CGR0.40_K307_Poro0.180,422.45,75900000.0,0.18,306.6,CH4,-0.958568317157712,-0.958568317157712,0.958568317157712,9.860449623474329,24.49584438828429,24.49584438828429,499.77733738916015,19627.61906837429,0.4025356083740604,48.99168877656858,25384.132860846392,0.958568317157712,306.6,0.18,75.9,149.3,3,11,11,76,Fulmar_029_02
10,1,10,case010_CGCO2_Q233183_CL308.2_CGR3.13_K0.5_Poro0.130,442.11,82300000.0,0.13,0.5,CO2,-8.805558175173255,-8.805558175173255,8.805558175173255,481.56187755174625,154.0804040839156,154.0804040839156,3563.1699592300583,139935.40203521683,3.1253933971348946,308.1608081678312,233182.60642630266,8.805558175173255,0.5,0.13,82.3,168.96,0,20,20,108,Judy_029_02
11,1,11,case011_CGCH4_Q371130_CL25.6_CGR1.29_K100_Poro0.150,312.12,8300000.000000001,0.15,100.0,CH4,-14.014781108281179,-14.014781108281179,14.014781108281179,16.469810271882636,12.802185910242192,12.802185910242192,272.5135284767265,10702.349481995077,1.2864842291273257,25.604371820484385,371129.58909715136,14.014781108281179,100.0,0.15,8.3,38.97,2,16,16,18,Bunter Closure 46
12,2,12,case012_CGCO2_Q626449_CL27.7_CGR1.76_K400_Poro0.150,406.04999999999995,76000000.0,0.15,400.0,CO2,-23.65629221343987,-23.65629221343987,23.65629221343987,24.3561814730267,13.853027570894698,13.853027570894698,301.4167328909207,11837.457146261611,1.7581847252075928,27.706055141789395,626449.3138282653,23.65629221343987,400.0,0.15,76.0,132.9,4,32,32,50,Darwin_009_14
