Field Name,Latitude,Longitude,Number of Wells,Porosity [-],Formation Temp [C],Pore Pressure [MPa],Salinity [ppm],Permeability [mD],Swr [-],CO2 Endpoint RelPerm,Gross Prod Rate/Well [cm/d],Water Prod Rate/Well [cm/d],Gas Saturation [-],Gas Gravity,RGIIP,Reservoir Pressure[MPa],Reservoir Temp [C],Gas Comp. Factor,Gas Viscosity [cp],Pore Volume,Temp Gradient,Cum,ref,,,,,,,
Frigg gas field,59.90341984,2.085593201,48,0.29,61,19.8,63000,1500,0.423,0.237,1418333.333,0,-,-,178000,18.72,75.11,0.89,0.017431,4790,-,142400,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.15,,,,,,,
Barque gas field,53.601201,1.601773,25,0.11,91.01415,23.7,200000,50,0.423,0.237,341545.3577,0.001,0.51,0.59,"38,680.81",26.37,79,0.936435,0.023,1523.237156,36.31415136,26499.24,,,,,,,,
Amethyst East gas field,53.600446,0.795735,19,0.18,98.0131,26.2,145000,100,0.423,0.237,329721.3909,0.001,0.5,-,"23,899.42",28.27,88,0.956631,0.023,238.3157076,35.79533615,15972.47,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.48,,,,,,,
Camelot North gas field,52.959285,2.142056,2,0.18,76.58225,19.8,180000,200,0.423,0.237,622276.7123,0.720547945,0.8,0.62,622.9706,19.3,60,0.8554,0.023,234.1701965,36.15300474,560.45,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.50,,,,,,,
Camelot Central South gas field,52.940538,2.157195,6,0.18,74.5561,18.8,180000,200,0.423,0.237,386416.4384,1.035159817,0.8,0.62,"7,107.53",19.3,60,0.8555,0.023,185.9586854,36.09332972,5644.02,https://www.lyellcollection.org/toc/mem/20/1,,,,,,,
Camelot  Northeast gas field,52.967641,2.232372,2,0.18,77.0502,19.8,180000,200,0.423,0.237,-,-,0.8,0.62,707.921,19.3,60,0.8555,-,261.9352142,35.95915094,497.92,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.54,,,,,,,
Cleeton gas field,54.041875,0.721038,7,0.18,105.7257,28.3,214000,95,0.423,0.237,621060.6654,0.001,0.83,-,"10,080.80",28.59,79,0.946047,0.023,214.219566,35.2800361,8788.16,,,,,,,,
Clipper North gas field,53.455531,1.736011,25,0.11,89.30265,24.4,200000,20,0.423,0.237,-,-,0.49,0.59,2.13E+04,26.54,79,0.942472,-,775.033383,35.56546369,15318.02,,,,,,,,
Corvette gas field,53.235392,2.625324,2,0.2,96.2428,25.4,200000,400,0.423,0.237,-,-,0.85,0.59,6700,28.15,86,0.957877,-,59.10003,36.19474979,5422.67,,,,,,,,
Davy gas field,52.998409,2.902582,4,0.16,90.07965,23.3,225800,30,0.423,0.237,621767.1233,0.001,0.7,0.6,"5,663.37",24.56,88,0.947054,0.022,88.324236,36.88973034,5049.62,,,,,,,,
Bessemer gas field,53.20185,2.472358,3,0.17,100.0522,26.8,196200,30,0.423,0.237,1099264.84,0.001,0.8,0.609,"3,681.19",27.78,91,0.953984,0.023,74.83385448,35.73454969,"2,831.68",,,,,,,,
Beaufort gas field,53.172681,2.532864,1,0.17,100.71125,26.8,196200,30,0.423,0.237,2000,0.001,0.8,0.61,906.139,27.58,91,0.947115,0.023,29.0778642,36.21533203,0.74,,,,,,,,
Brown gas field,53.026738,2.92691,1,0.16,99.57445,25.5,225800,30,0.423,0.237,-,-,0.6,0.597,707.921,27.36,89,0.966223,-,45.29824992,36.09556563,356.84,,,,,,,,
Gawain gas field,53.17035,2.703799,3,0.18,104.38345,27.3,200000,100,0.423,0.237,749294.9772,3.169863014,0.75,0.61,"3,774.10",28.39,80,1.005312,0.023,95.1598692,36.77354063,3.89E+03,,,,,,,,
Guinevere gas field,53.42024,1.273852,2,0.14,95.2691,26.1,159000,20,0.423,0.237,490871.2329,0.010958904,0.65,0.71,"2,548.52",27.58,92,0.924,0.028,59.70455568,35.13248792,2760.24,,,,,,,,
Deborah gas field,53.086962,1.851217,4,0.14,70.6305,17.7,208032,75,0.423,0.237,-,-,0.67,-,9.84E+03,19,63,0.867,-,172.6210886,37.36903341,9850,,,,,,,,
Big Dotty gas field,53.091643,1.784571,5,0.19,67.54945,17.3,208232,250,0.423,0.237,-,-,0.76,-,6.29E+03,18.23,66,0.825,-,354.07122,34.8854423,6.3,,,,,,,,
Little Dotty gas field (Leman Sdst),53.04442,1.865417,1,0.19,102.3454,17.4,208032,450,0.423,0.237,-,-,-,0.75,5.31E+03,18.93,63,0.865,-,164.245158,56.80036123,5300,,,,,,,,
Della gas field,53.07218,1.895105,2,0.13,72.615,18.2,208032,50,0.423,0.237,-,-,0.58,-,2.99E+03,19.3,62,0.867,-,89.50253598,36.5469457,3000,,,,,,,,
Dawn gas field,53.130539,1.694635,1,0.2,69.7597,17.3,208032,170,0.423,0.237,466846.5753,0.001,0.75,-,566.3368,16.23,64,0.835,0.023,72.072,35.9695399,512.96,,,,,,,,
Delilah gas field,53.084599,1.913129,1,0.15,75.646,18.6,208032,54,0.423,0.237,-,-,0.54,-,1.84E+04,19.56,66,0.901549,-,80.68896,36.56540541,835.59,,,,,,,,
Indefatigable gas field,53.296441,2.460179,47,0.15,90.9949,23.7,196200,30,0.423,0.237,168936.9428,0.001,0.7,0.612,1.33E+05,28.42,91,0.975962,0.0232,1117.38522,36.30573053,135706.58,,,,,,,,
Johnston gas field,54.040604,1.247792,6,0.11,117.85565,31.4,175000,10,0.423,0.237,609031.9635,4.057534247,0.75,0.606,8.56E+03,32.61,108,1.021251,0.023,86.1135,35.16506082,6998.66,,,,,,,,
Malory gas field,53.550605,1.232497,1,0.15,101.71855,28.6,256690,24,0.423,0.237,-,-,0.633,0.615,"2,123.76",29.35,93,0.979609,-,54.15,34.09186977,4600.3,,,,,,,,
